Date,btc,eurusd,market_proxy,sp500,eurostoxx50
2015-03-18,256.29901123046875,1.0598047971725464,61.00699996948242,2099.5,3668.52001953125
2015-03-19,260.9280090332031,1.0849988460540771,60.4817008972168,2089.27001953125,3670.72998046875
2015-03-20,261.7489929199219,1.066894292831421,61.40094757080078,2108.10009765625,3726.070068359375
2015-03-21,260.0249938964844,,,,
2015-03-22,267.9599914550781,,,,
2015-03-23,266.739990234375,1.0826611518859863,61.63074493408203,2104.419921875,3699.0400390625
2015-03-24,245.59500122070312,1.094499111175537,61.40094757080078,2091.5,3731.35009765625
2015-03-25,246.19700622558594,1.0902034044265747,60.908485412597656,2061.050048828125,3684.0400390625
2015-03-26,248.53199768066406,1.0960465669631958,60.19443130493164,2056.14990234375,3669.7900390625
2015-03-27,247.0290069580078,1.0886367559432983,60.2354850769043,2061.02001953125,3679.030029296875
2015-03-28,252.79800415039062,,,,
2015-03-29,242.71299743652344,,,,
2015-03-30,247.5260009765625,1.0884946584701538,60.4078369140625,2086.239990234375,3727.800048828125
2015-03-31,244.2239990234375,1.0830246210098267,60.30113983154297,2067.889892578125,3697.3798828125
2015-04-01,247.27200317382812,1.073814034461975,60.05492401123047,2059.68994140625,3714.889892578125
2015-04-02,253.0050048828125,1.0769942998886108,60.45708465576172,2066.9599609375,3715.27001953125
2015-04-03,254.32200622558594,1.087074637413025,,,
2015-04-04,253.69700622558594,,,,
2015-04-05,260.5979919433594,,,,
2015-04-06,255.49200439453125,1.100134253501892,61.22038269042969,2080.6201171875,
2015-04-07,253.17999267578125,1.0934817790985107,60.83464050292969,2076.330078125,3768.719970703125
2015-04-08,245.02200317382812,1.0824151039123535,61.00699996948242,2081.89990234375,3742.6298828125
2015-04-09,243.67599487304688,1.078527569770813,60.94953918457031,2091.179931640625,3781.7900390625
2015-04-10,236.07200622558594,1.0669056177139282,61.49122619628906,2102.06005859375,3816.760009765625
2015-04-11,236.552001953125,,,,
2015-04-12,236.1529998779297,,,,
2015-04-13,224.58700561523438,1.0609854459762573,61.146522521972656,2092.429931640625,3828.780029296875
2015-04-14,219.15899658203125,1.0572947263717651,61.38454055786133,2095.840087890625,3784.530029296875
2015-04-15,223.83299255371094,1.0647132396697998,61.425559997558594,2106.6298828125,3803.550048828125
2015-04-16,228.572998046875,1.0676802396774292,61.54868698120117,2104.989990234375,3751.719970703125
2015-04-17,222.8820037841797,1.0755579471588135,60.892093658447266,2081.179931640625,3674.050048828125
2015-04-18,223.3560028076172,,,,
2015-04-19,222.60000610351562,,,,
2015-04-20,224.62600708007812,1.0810226202011108,61.55690383911133,2100.39990234375,3718.0400390625
2015-04-21,235.2689971923828,1.0747487545013428,61.32709503173828,2097.2900390625,3719.3798828125
2015-04-22,234.17599487304688,1.074171543121338,61.53226852416992,2107.9599609375,3724.489990234375
2015-04-23,236.46200561523438,1.0725815296173096,61.80313491821289,2112.929931640625,3697.8798828125
2015-04-24,231.26800537109375,1.0815019607543945,62.065773010253906,2117.68994140625,3713.9599609375
2015-04-25,226.38999938964844,,,,
2015-04-26,219.42999267578125,,,,
2015-04-27,229.28599548339844,1.086897373199463,62.0001106262207,2108.919921875,3771.449951171875
2015-04-28,225.85499572753906,1.0877959728240967,62.10680389404297,2114.760009765625,3715.419921875
2015-04-29,225.80799865722656,1.096912145614624,61.663597106933594,2106.85009765625,3617.110107421875
2015-04-30,236.14500427246094,1.1114321947097778,61.37632751464844,2085.510009765625,3615.590087890625
2015-05-01,232.07899475097656,1.1214659214019775,61.597938537597656,2108.2900390625,
2015-05-02,234.92999267578125,,,,
2015-05-03,240.35800170898438,,,,
2015-05-04,239.01800537109375,1.1185932159423828,62.238121032714844,2114.489990234375,3632.93994140625
2015-05-05,236.12100219726562,1.1149141788482666,61.44199752807617,2089.4599609375,3546.56005859375
2015-05-06,229.78199768066406,1.1186307668685913,61.154727935791016,2080.14990234375,3558.030029296875
2015-05-07,237.33399963378906,1.1341469287872314,61.38454055786133,2088.0,3556.2099609375
